AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,household_key
65+,U,200-249K,Homeowner,Single Male,5+,3+,1067
25-34,B,50-74K,Unknown,Unknown,2,None/Unknown,1068
45-54,A,100-124K,Probable Renter,Single Female,1,3+,1069
65+,U,250K+,Probable Owner,Single Female,1,1,1070
45-54,A,100-124K,Probable Renter,2 Adults No Kids,3,1,1071
35-44,A,50-74K,Probable Renter,2 Adults Kids,3,1,1072
35-44,U,125-149K,Homeowner,Single Female,2,3+,1073
35-44,A,200-249K,Unknown,Unknown,2,2,1074
19-24,A,75-99K,Renter,2 Adults No Kids,3,2,1075
35-44,B,50-74K,Probable Owner,Single Female,2,None/Unknown,1076
25-34,B,50-74K,Homeowner,Unknown,3,2,1077
55-64,U,15-24K,Homeowner,Single Male,2,None/Unknown,1078
25-34,A,175-199K,Probable Renter,Single Female,4,3+,1079
65+,U,150-174K,Probable Owner,Single Male,2,3+,1080
55-64,B,50-74K,Unknown,2 Adults No Kids,3,2,1081
55-64,A,50-74K,Renter,2 Adults Kids,3,2,1082
55-64,U,150-174K,Unknown,2 Adults Kids,2,None/Unknown,1083
55-64,U,25-34K,Unknown,2 Adults No Kids,2,2,1084
19-24,U,Under 15K,Probable Owner,Unknown,2,1,1085
55-64,B,175-199K,Unknown,Single Female,1,3+,1086
65+,A,250K+,Renter,2 Adults No Kids,4,2,1087
65+,U,25-34K,Renter,2 Adults No Kids,1,None/Unknown,1088
45-54,B,200-249K,Homeowner,Single Male,3,None/Unknown,1089
55-64,B,25-34K,Homeowner,Unknown,2,None/Unknown,1090
45-54,A,Under 15K,Unknown,Single Female,5+,1,1091
19-24,A,100-124K,Unknown,Single Male,5+,3+,1092
19-24,A,75-99K,Probable Renter,1 Adult Kids,4,3+,1093
45-54,B,150-174K,Renter,Single Male,1,None/Unknown,1094
35-44,U,100-124K,Probable Owner,Unknown,3,2,1095
55-64,A,200-249K,Unknown,2 Adults Kids,4,1,1096
45-54,U,25-34K,Renter,Unknown,4,1,1097
65+,A,100-124K,Renter,Unknown,2,3+,1098
25-34,B,35-49K,Probable Owner,2 Adults Kids,4,None/Unknown,1099
35-44,U,100-124K,Probable Owner,Single Male,1,3+,1100
25-34,B,35-49K,Unknown,1 Adult Kids,1,2,1101
55-64,B,150-174K,Probable Owner,1 Adult Kids,1,None/Unknown,1102
65+,A,150-174K,Unknown,Single Male,3,None/Unknown,1103
65+,A,175-199K,Probable Owner,Single Female,1,None/Unknown,1104
25-34,B,50-74K,Homeowner,2 Adults Kids,4,None/Unknown,1105
35-44,A,Under 15K,Probable Renter,Single Female,4,3+,1106
55-64,B,150-174K,Probable Owner,1 Adult Kids,2,None/Unknown,1107
19-24,U,175-199K,Probable Owner,1 Adult Kids,2,None/Unknown,1108
35-44,U,50-74K,Homeowner,2 Adults Kids,2,3+,1109
55-64,U,25-34K,Homeowner,1 Adult Kids,1,1,1110
45-54,A,25-34K,Unknown,Unknown,1,None/Unknown,1111
35-44,A,50-74K,Renter,1 Adult Kids,3,None/Unknown,1112
55-64,B,50-74K,Homeowner,Single Female,2,2,1113
65+,A,100-124K,Probable Owner,Unknown,1,3+,1114
45-54,U,150-174K,Probable Renter,Unknown,4,1,1115
45-54,U,35-49K,Probable Owner,1 Adult Kids,2,2,1116
45-54,B,125-149K,Renter,2 Adults No Kids,5+,None/Unknown,1117
45-54,U,35-49K,Probable Renter,2 Adults Kids,4,None/Unknown,1118
35-44,A,15-24K,Renter,Single Male,5+,2,1119
65+,U,35-49K,Renter,2 Adults No Kids,4,2,1120
65+,B,35-49K,Homeowner,Unknown,2,None/Unknown,1121
45-54,U,125-149K,Renter,2 Adults Kids,4,2,1122
35-44,A,75-99K,Homeowner,Unknown,1,None/Unknown,1123
45-54,A,25-34K,Homeowner,2 Adults No Kids,5+,3+,1124
25-34,A,150-174K,Renter,2 Adults Kids,2,None/Unknown,1125
25-34,A,75-99K,Probable Renter,Single Female,4,None/Unknown,1126
65+,B,25-34K,Unknown,2 Adults No Kids,4,3+,1127
55-64,U,Under 15K,Renter,Unknown,4,3+,1128
45-54,A,150-174K,Renter,1 Adult Kids,3,1,1129
45-54,A,15-24K,Unknown,Single Male,1,None/Unknown,1130
45-54,U,75-99K,Probable Owner,Unknown,5+,1,1131
35-44,B,125-149K,Unknown,Single Male,5+,1,1132
45-54,A,75-99K,Renter,Unknown,4,2,1133
35-44,U,150-174K,Probable Renter,Unknown,4,None/Unknown,1134
19-24,U,125-149K,Probable Renter,2 Adults Kids,4,1,1135
35-44,U,35-49K,Probable Renter,Unknown,5+,None/Unknown,1136
55-64,B,250K+,Renter,2 Adults No Kids,5+,2,1137
25-34,B,175-199K,Renter,Single Female,5+,2,1138
35-44,A,50-74K,Probable Owner,2 Adults Kids,1,2,1139
55-64,B,15-24K,Probable Renter,Unknown,2,1,1140
65+,U,Under 15K,Homeowner,2 Adults Kids,3,2,1141
55-64,A,50-74K,Probable Renter,Single Female,1,3+,1142
35-44,U,25-34K,Homeowner,Single Female,4,1,1143
65+,B,125-149K,Probable Renter,Unknown,1,1,1144
35-44,A,50-74K,Unknown,1 Adult Kids,4,None/Unknown,1145
19-24,U,Under 15K,Unknown,Unknown,1,2,1146
19-24,B,250K+,Probable Renter,Unknown,3,1,1147
35-44,B,200-249K,Probable Owner,2 Adults Kids,5+,2,1148
35-44,A,50-74K,Renter,Single Male,3,2,1149
55-64,U,15-24K,Probable Renter,Unknown,2,2,1150
55-64,B,125-149K,Probable Renter,1 Adult Kids,3,None/Unknown,1151
65+,U,175-199K,Homeowner,1 Adult Kids,1,3+,1152
25-34,B,125-149K,Unknown,2 Adults No Kids,1,1,1153
65+,U,250K+,Probable Owner,Unknown,4,1,1154
25-34,A,100-124K,Unknown,Unknown,3,None/Unknown,1155
55-64,A,150-174K,Unknown,Unknown,1,1,1156
19-24,B,25-34K,Renter,2 Adults Kids,4,None/Unknown,1157
35-44,U,15-24K,Probable Owner,Unknown,4,None/Unknown,1158
25-34,B,200-249K,Homeowner,Single Male,3,2,1159
19-24,U,200-249K,Probable Owner,2 Adults Kids,4,2,1160
35-44,U,150-174K,Renter,2 Adults No Kids,3,3+,1161
55-64,A,15-24K,Homeowner,Single Male,4,3+,1162
55-64,A,50-74K,Probable Owner,Unknown,3,None/Unknown,1163
19-24,B,200-249K,Probable Owner,Single Female,2,2,1164
55-64,B,125-149K,Renter,1 Adult Kids,3,1,1165
19-24,U,200-249K,Unknown,1 Adult Kids,4,None/Unknown,1166
45-54,U,150-174K,Unknown,Single Female,5+,None/Unknown,1167
65+,U,75-99K,Probable Owner,1 Adult Kids,4,1,1168
65+,A,175-199K,Renter,2 Adults Kids,5+,2,1169
19-24,U,25-34K,Unknown,1 Adult Kids,5+,2,1170
65+,U,100-124K,Renter,2 Adults Kids,5+,3+,1171
35-44,B,35-49K,Probable Renter,Single Female,5+,1,1172
19-24,U,100-124K,Probable Owner,Unknown,4,1,1173
19-24,A,150-174K,Renter,Single Male,2,2,1174
55-64,A,150-174K,Unknown,2 Adults Kids,5+,None/Unknown,1175
65+,B,200-249K,Probable Owner,Single Male,5+,None/Unknown,1176
19-24,U,125-149K,Unknown,Unknown,4,1,1177
19-24,A,75-99K,Probable Renter,Unknown,4,1,1178
55-64,U,125-149K,Probable Renter,Unknown,4,1,1179
45-54,B,15-24K,Homeowner,1 Adult Kids,4,2,1180
19-24,B,100-124K,Renter,2 Adults Kids,4,None/Unknown,1181
35-44,B,75-99K,Unknown,Single Male,1,3+,1182
55-64,A,175-199K,Homeowner,2 Adults No Kids,3,3+,1183
35-44,B,125-149K,Probable Renter,2 Adults Kids,1,3+,1184
65+,U,25-34K,Unknown,Single Female,3,3+,1185
19-24,A,25-34K,Homeowner,2 Adults No Kids,5+,None/Unknown,1186
65+,B,50-74K,Unknown,1 Adult Kids,5+,None/Unknown,1187
25-34,U,100-124K,Probable Renter,2 Adults No Kids,3,2,1188
55-64,B,250K+,Renter,2 Adults No Kids,2,None/Unknown,1189
55-64,A,25-34K,Renter,2 Adults Kids,5+,2,1190
25-34,B,15-24K,Probable Renter,Single Male,2,1,1191
65+,B,Under 15K,Renter,1 Adult Kids,4,2,1192
19-24,U,250K+,Probable Renter,Single Female,2,2,1193
55-64,B,75-99K,Homeowner,Unknown,3,None/Unknown,1194
45-54,A,15-24K,Homeowner,2 Adults No Kids,1,2,1195
35-44,B,35-49K,Probable Owner,Single Female,1,1,1196
65+,B,15-24K,Probable Owner,Single Female,4,1,1197
55-64,B,100-124K,Probable Renter,Unknown,3,2,1198
65+,A,250K+,Renter,1 Adult Kids,4,3+,1199
45-54,B,200-249K,Unknown,Single Male,1,2,1200
19-24,A,50-74K,Probable Renter,Single Male,4,3+,1201
55-64,A,125-149K,Probable Renter,Single Female,5+,3+,1202
45-54,A,75-99K,Probable Owner,Unknown,5+,1,1203
65+,U,50-74K,Renter,Single Male,1,2,1204
65+,A,Under 15K,Probable Renter,2 Adults No Kids,3,3+,1205
65+,B,100-124K,Probable Renter,1 Adult Kids,3,3+,1206
65+,U,50-74K,Probable Renter,Unknown,4,2,1207
55-64,U,25-34K,Probable Renter,Unknown,5+,3+,1208
45-54,B,125-149K,Probable Owner,2 Adults Kids,5+,2,1209
25-34,A,200-249K,Unknown,Unknown,3,1,1210
35-44,A,200-249K,Renter,2 Adults No Kids,4,None/Unknown,1211
25-34,A,25-34K,Probable Renter,2 Adults No Kids,2,1,1212
65+,B,175-199K,Homeowner,1 Adult Kids,4,1,1213
35-44,B,35-49K,Renter,Single Male,5+,None/Unknown,1214
35-44,A,75-99K,Homeowner,2 Adults No Kids,1,None/Unknown,1215
35-44,A,125-149K,Renter,1 Adult Kids,2,1,1216
25-34,U,15-24K,Unknown,Unknown,1,1,1217
35-44,B,200-249K,Homeowner,Single Female,1,1,1218
55-64,U,15-24K,Homeowner,1 Adult Kids,4,1,1219
35-44,B,175-199K,Probable Renter,Single Female,4,3+,1220
45-54,U,200-249K,Renter,Single Male,1,None/Unknown,1221
19-24,B,175-199K,Renter,2 Adults Kids,2,3+,1222
55-64,B,35-49K,Unknown,2 Adults Kids,2,None/Unknown,1223
45-54,A,175-199K,Probable Owner,Unknown,2,3+,1224
25-34,U,175-199K,Probable Renter,2 Adults No Kids,1,3+,1225
45-54,B,25-34K,Homeowner,Single Male,5+,3+,1226
35-44,B,15-24K,Homeowner,1 Adult Kids,2,2,1227
25-34,B,75-99K,Unknown,2 Adults No Kids,2,1,1228
25-34,B,75-99K,Renter,Single Male,1,None/Unknown,1229
55-64,A,75-99K,Probable Owner,Single Male,1,3+,1230
35-44,A,15-24K,Homeowner,2 Adults No Kids,5+,1,1231
55-64,B,175-199K,Unknown,1 Adult Kids,4,None/Unknown,1232
35-44,U,15-24K,Probable Renter,Single Male,3,3+,1233
45-54,A,150-174K,Probable Owner,Single Male,3,1,1234
55-64,U,25-34K,Probable Renter,Single Male,1,2,1235
25-34,U,200-249K,Probable Owner,Unknown,5+,1,1236
55-64,U,Under 15K,Unknown,Unknown,3,None/Unknown,1237
45-54,U,15-24K,Homeowner,2 Adults No Kids,4,2,1238
55-64,B,150-174K,Probable Owner,Unknown,1,3+,1239
35-44,U,50-74K,Renter,Single Female,1,None/Unknown,1240
55-64,U,175-199K,Unknown,2 Adults Kids,3,1,1241
25-34,U,100-124K,Homeowner,Single Male,2,None/Unknown,1242
19-24,U,250K+,Renter,2 Adults Kids,4,None/Unknown,1243
55-64,B,Under 15K,Renter,2 Adults No Kids,2,None/Unknown,1244
55-64,B,150-174K,Unknown,2 Adults No Kids,2,None/Unknown,1245
55-64,U,25-34K,Probable Owner,Single Female,5+,2,1246
65+,U,175-199K,Homeowner,2 Adults Kids,2,2,1247
65+,B,100-124K,Probable Owner,Single Female,2,2,1248
55-64,U,15-24K,Renter,2 Adults Kids,2,3+,1249
19-24,A,25-34K,Probable Owner,Single Female,3,2,1250
45-54,A,15-24K,Homeowner,1 Adult Kids,4,None/Unknown,1251
19-24,A,200-249K,Probable Owner,Single Male,3,2,1252
55-64,B,50-74K,Homeowner,2 Adults Kids,4,2,1253
19-24,A,15-24K,Homeowner,2 Adults No Kids,1,3+,1254
65+,A,150-174K,Renter,2 Adults Kids,2,1,1255
45-54,B,15-24K,Renter,Single Male,1,2,1256
45-54,A,175-199K,Homeowner,Single Female,3,3+,1257
19-24,U,Under 15K,Unknown,Single Male,4,None/Unknown,1258
65+,B,200-249K,Probable Owner,Single Male,1,None/Unknown,1259
19-24,U,50-74K,Probable Renter,Single Male,5+,3+,1260
65+,B,25-34K,Unknown,2 Adults No Kids,4,None/Unknown,1261
55-64,A,175-199K,Renter,Single Male,5+,2,1262
65+,U,150-174K,Homeowner,Single Male,5+,None/Unknown,1263
45-54,A,50-74K,Probable Renter,2 Adults Kids,3,None/Unknown,1264
45-54,U,35-49K,Homeowner,Unknown,1,1,1265
25-34,B,150-174K,Unknown,2 Adults Kids,2,3+,1266
45-54,A,75-99K,Unknown,2 Adults No Kids,3,3+,1267
35-44,B,75-99K,Unknown,2 Adults Kids,4,2,1268
25-34,A,250K+,Homeowner,2 Adults No Kids,5+,3+,1269
19-24,B,200-249K,Probable Owner,2 Adults Kids,2,None/Unknown,1270
65+,U,200-249K,Renter,2 Adults Kids,1,None/Unknown,1271
65+,U,50-74K,Homeowner,Unknown,2,2,1272
45-54,A,200-249K,Probable Owner,Single Male,2,None/Unknown,1273
19-24,B,175-199K,Homeowner,Single Female,4,2,1274
55-64,A,50-74K,Renter,2 Adults Kids,4,1,1275
19-24,U,Under 15K,Probable Renter,2 Adults No Kids,1,3+,1276
55-64,U,100-124K,Probable Owner,Unknown,3,2,1277
35-44,A,250K+,Unknown,Unknown,1,None/Unknown,1278
45-54,A,25-34K,Probable Renter,2 Adults No Kids,5+,3+,1279
35-44,A,125-149K,Probable Owner,Single Male,5+,2,1280
25-34,A,Under 15K,Probable Renter,Unknown,1,1,1281
45-54,A,125-149K,Probable Renter,Single Female,3,2,1282
19-24,A,250K+,Unknown,2 Adults No Kids,4,None/Unknown,1283
25-34,U,Under 15K,Renter,Single Female,2,None/Unknown,1284
55-64,U,250K+,Probable Renter,Single Male,3,2,1285
19-24,U,15-24K,Unknown,1 Adult Kids,3,3+,1286
25-34,A,75-99K,Probable Owner,Single Male,4,3+,1287
55-64,B,175-199K,Homeowner,Unknown,3,2,1288
45-54,U,50-74K,Probable Renter,1 Adult Kids,2,3+,1289
35-44,U,175-199K,Renter,Single Female,4,None/Unknown,1290
19-24,B,75-99K,Probable Owner,Single Male,5+,2,1291
65+,U,15-24K,Homeowner,Single Female,5+,None/Unknown,1292
25-34,B,15-24K,Homeowner,2 Adults Kids,2,1,1293
25-34,U,125-149K,Homeowner,Single Male,3,None/Unknown,1294
65+,B,200-249K,Probable Owner,Single Male,2,3+,1295
65+,B,150-174K,Unknown,Single Female,5+,2,1296
45-54,B,150-174K,Renter,2 Adults Kids,1,3+,1297
25-34,A,50-74K,Homeowner,1 Adult Kids,3,None/Unknown,1298
35-44,B,200-249K,Unknown,Single Male,4,3+,1299
65+,U,25-34K,Renter,Single Female,5+,1,1300
55-64,B,35-49K,Homeowner,Single Male,3,2,1301
25-34,A,125-149K,Renter,Unknown,2,1,1302
35-44,A,200-249K,Probable Owner,2 Adults Kids,2,2,1303
19-24,A,50-74K,Renter,2 Adults Kids,5+,2,1304
55-64,A,175-199K,Homeowner,Unknown,2,3+,1305
19-24,B,75-99K,Unknown,2 Adults Kids,1,2,1306
35-44,U,50-74K,Homeowner,2 Adults Kids,3,None/Unknown,1307
55-64,B,35-49K,Probable Owner,Unknown,4,2,1308
25-34,A,75-99K,Homeowner,Unknown,1,3+,1309
35-44,B,Under 15K,Unknown,2 Adults Kids,1,1,1310
65+,A,25-34K,Probable Owner,1 Adult Kids,3,None/Unknown,1311
35-44,B,250K+,Probable Owner,2 Adults No Kids,1,3+,1312
19-24,U,100-124K,Probable Owner,2 Adults Kids,4,1,1313
35-44,B,100-124K,Unknown,2 Adults Kids,1,None/Unknown,1314
35-44,A,125-149K,Unknown,1 Adult Kids,5+,2,1315
35-44,A,125-149K,Probable Owner,Unknown,5+,3+,1316
19-24,B,125-149K,Unknown,1 Adult Kids,4,3+,1317
19-24,B,100-124K,Homeowner,Single Female,3,None/Unknown,1318
35-44,B,25-34K,Unknown,Single Male,5+,3+,1319
35-44,U,150-174K,Probable Renter,Single Male,2,None/Unknown,1320
25-34,U,35-49K,Probable Owner,2 Adults Kids,3,None/Unknown,1321
65+,B,Under 15K,Homeowner,1 Adult Kids,5+,3+,1322
45-54,B,250K+,Probable Owner,Single Female,5+,None/Unknown,1323
45-54,U,175-199K,Unknown,Single Male,4,3+,1324
25-34,U,100-124K,Unknown,Single Male,5+,2,1325
45-54,U,200-249K,Probable Renter,Single Female,3,3+,1326
25-34,A,75-99K,Probable Renter,2 Adults No Kids,1,2,1327
65+,A,50-74K,Probable Renter,Single Male,3,2,1328
35-44,A,200-249K,Renter,2 Adults No Kids,2,3+,1329
55-64,U,125-149K,Renter,Unknown,4,2,1330
45-54,A,75-99K,Unknown,Single Male,2,3+,1331
19-24,B,50-74K,Probable Owner,1 Adult Kids,3,None/Unknown,1332
19-24,U,Under 15K,Probable Renter,1 Adult Kids,2,3+,1333
55-64,A,Under 15K,Homeowner,2 Adults No Kids,4,None/Unknown,1334
65+,U,75-99K,Probable Renter,2 Adults No Kids,1,2,1335
65+,A,Under 15K,Homeowner,2 Adults No Kids,1,3+,1336
19-24,A,35-49K,Renter,2 Adults Kids,5+,1,1337
35-44,U,50-74K,Unknown,Single Female,4,1,1338
45-54,B,25-34K,Homeowner,2 Adults Kids,5+,1,1339
35-44,B,175-199K,Renter,2 Adults Kids,5+,1,1340
65+,B,150-174K,Probable Owner,2 Adults No Kids,4,1,1341
45-54,B,125-149K,Homeowner,Single Female,1,2,1342
45-54,A,175-199K,Probable Renter,Unknown,2,None/Unknown,1343
25-34,A,175-199K,Renter,Single Male,4,1,1344
55-64,A,35-49K,Homeowner,Single Female,3,3+,1345
65+,B,50-74K,Probable Renter,2 Adults No Kids,1,1,1346
45-54,U,200-249K,Homeowner,Unknown,3,3+,1347
25-34,A,25-34K,Probable Owner,1 Adult Kids,5+,1,1348
19-24,A,35-49K,Renter,2 Adults No Kids,2,2,1349
65+,U,200-249K,Renter,Unknown,3,3+,1350
65+,A,125-149K,Homeowner,Single Male,5+,2,1351
25-34,U,50-74K,Unknown,Single Female,4,1,1352
55-64,B,200-249K,Probable Owner,Single Male,2,2,1353
19-24,A,Under 15K,Homeowner,Single Female,4,1,1354
25-34,A,200-249K,Renter,Unknown,5+,3+,1355
65+,A,175-199K,Homeowner,Unknown,1,1,1356
45-54,U,35-49K,Homeowner,Single Male,3,None/Unknown,1357
65+,U,200-249K,Probable Owner,1 Adult Kids,3,None/Unknown,1358
45-54,B,125-149K,Probable Owner,Single Female,4,None/Unknown,1359
25-34,A,Under 15K,Unknown,Unknown,4,2,1360
25-34,A,250K+,Homeowner,Single Male,2,3+,1361
25-34,A,25-34K,Unknown,2 Adults No Kids,5+,3+,1362
25-34,B,15-24K,Unknown,Unknown,2,1,1363
65+,U,100-124K,Probable Renter,Single Female,2,None/Unknown,1364
25-34,U,125-149K,Homeowner,Unknown,4,None/Unknown,1365
65+,A,Under 15K,Probable Renter,1 Adult Kids,2,3+,1366
19-24,B,15-24K,Unknown,2 Adults No Kids,1,1,1367
19-24,B,150-174K,Unknown,Single Female,3,2,1368
45-54,B,75-99K,Probable Renter,2 Adults No Kids,5+,None/Unknown,1369
19-24,A,35-49K,Homeowner,Single Male,2,2,1370
55-64,B,15-24K,Probable Renter,Unknown,2,None/Unknown,1371
55-64,B,35-49K,Unknown,2 Adults Kids,1,2,1372
55-64,B,35-49K,Probable Owner,Single Female,2,None/Unknown,1373
25-34,U,15-24K,Homeowner,1 Adult Kids,2,None/Unknown,1374
25-34,A,150-174K,Probable Owner,2 Adults No Kids,5+,2,1375
35-44,A,15-24K,Probable Owner,2 Adults No Kids,5+,3+,1376
45-54,A,15-24K,Homeowner,Single Female,4,1,1377
55-64,U,35-49K,Unknown,1 Adult Kids,1,1,1378
55-64,U,175-199K,Probable Owner,Unknown,3,None/Unknown,1379
55-64,U,Under 15K,Probable Owner,Unknown,4,None/Unknown,1380
35-44,A,150-174K,Probable Owner,1 Adult Kids,4,None/Unknown,1381
65+,B,250K+,Probable Owner,2 Adults Kids,5+,1,1382
65+,B,35-49K,Probable Renter,Unknown,2,1,1383
65+,A,Under 15K,Unknown,1 Adult Kids,4,1,1384
35-44,U,175-199K,Renter,Unknown,3,2,1385
35-44,A,250K+,Probable Renter,2 Adults No Kids,2,1,1386
55-64,A,Under 15K,Renter,2 Adults No Kids,1,1,1387
35-44,B,Under 15K,Renter,1 Adult Kids,2,3+,1388
45-54,U,15-24K,Homeowner,Single Female,5+,None/Unknown,1389
45-54,A,25-34K,Unknown,1 Adult Kids,5+,2,1390
35-44,U,15-24K,Renter,Single Female,2,2,1391
55-64,A,100-124K,Probable Renter,Single Female,1,2,1392
25-34,A,100-124K,Probable Renter,2 Adults No Kids,2,3+,1393
35-44,A,75-99K,Renter,Unknown,4,1,1394
35-44,B,50-74K,Homeowner,2 Adults No Kids,5+,1,1395
55-64,B,35-49K,Renter,2 Adults No Kids,1,2,1396
45-54,A,175-199K,Renter,1 Adult Kids,1,3+,1397
65+,B,Under 15K,Homeowner,2 Adults Kids,4,1,1398
19-24,A,75-99K,Renter,Single Male,4,2,1399
55-64,A,25-34K,Homeowner,2 Adults Kids,3,None/Unknown,1400
55-64,U,35-49K,Renter,Unknown,1,1,1401
55-64,A,Under 15K,Probable Renter,Single Male,1,None/Unknown,1402
35-44,U,75-99K,Homeowner,Single Male,3,3+,1403
55-64,U,100-124K,Probable Owner,2 Adults Kids,5+,2,1404
35-44,B,25-34K,Probable Owner,2 Adults No Kids,1,2,1405
45-54,B,35-49K,Probable Renter,Unknown,3,2,1406
35-44,U,15-24K,Unknown,1 Adult Kids,1,1,1407
45-54,A,35-49K,Probable Renter,Unknown,4,None/Unknown,1408
65+,U,75-99K,Probable Renter,Single Female,5+,1,1409
65+,B,50-74K,Probable Renter,1 Adult Kids,1,2,1410
35-44,U,50-74K,Probable Renter,2 Adults Kids,2,3+,1411
25-34,B,200-249K,Probable Renter,1 Adult Kids,3,2,1412
45-54,U,175-199K,Unknown,Single Male,2,3+,1413
35-44,B,50-74K,Homeowner,Unknown,1,None/Unknown,1414
19-24,U,75-99K,Probable Renter,Unknown,5+,2,1415
25-34,U,25-34K,Probable Owner,2 Adults Kids,3,None/Unknown,1416
45-54,A,200-249K,Homeowner,2 Adults Kids,4,3+,1417
65+,A,150-174K,Renter,Unknown,3,None/Unknown,1418
25-34,B,35-49K,Renter,Single Male,5+,3+,1419
25-34,B,125-149K,Probable Renter,Single Female,5+,3+,1420
35-44,B,100-124K,Homeowner,Single Female,4,3+,1421
45-54,B,175-199K,Unknown,1 Adult Kids,2,2,1422
45-54,A,Under 15K,Unknown,1 Adult Kids,1,None/Unknown,1423
55-64,A,15-24K,Renter,2 Adults No Kids,2,None/Unknown,1424
65+,U,35-49K,Probable Renter,Single Male,5+,3+,1425
19-24,B,200-249K,Probable Owner,2 Adults No Kids,2,None/Unknown,1426
55-64,A,75-99K,Probable Owner,Single Female,1,1,1427
25-34,B,175-199K,Homeowner,2 Adults No Kids,4,3+,1428
45-54,U,25-34K,Homeowner,Unknown,5+,2,1429
55-64,A,250K+,Probable Owner,2 Adults No Kids,4,None/Unknown,1430
45-54,U,35-49K,Homeowner,Single Male,3,2,1431
35-44,A,200-249K,Probable Owner,Single Male,1,3+,1432
55-64,B,200-249K,Probable Renter,2 Adults Kids,3,None/Unknown,1433
55-64,U,75-99K,Unknown,Single Male,3,3+,1434
65+,B,25-34K,Unknown,Single Male,2,2,1435
25-34,U,200-249K,Probable Renter,2 Adults No Kids,5+,None/Unknown,1436
55-64,U,Under 15K,Homeowner,Single Female,1,1,1437
45-54,A,35-49K,Probable Renter,1 Adult Kids,1,None/Unknown,1438
25-34,B,75-99K,Probable Renter,1 Adult Kids,5+,None/Unknown,1439
55-64,U,175-199K,Renter,2 Adults No Kids,3,1,1440
55-64,B,Under 15K,Probable Owner,2 Adults Kids,4,1,1441
25-34,A,250K+,Renter,2 Adults Kids,2,1,1442
55-64,A,250K+,Probable Renter,2 Adults No Kids,3,None/Unknown,1443
35-44,A,35-49K,Renter,2 Adults Kids,1,1,1444
45-54,B,200-249K,Renter,Single Male,2,None/Unknown,1445
35-44,A,35-49K,Unknown,1 Adult Kids,1,2,1446
65+,U,200-249K,Probable Owner,2 Adults No Kids,4,1,1447
55-64,B,75-99K,Probable Renter,2 Adults Kids,1,None/Unknown,1448
35-44,U,150-174K,Probable Owner,Unknown,3,2,1449
45-54,B,15-24K,Renter,2 Adults Kids,5+,None/Unknown,1450
19-24,U,250K+,Homeowner,Single Female,3,1,1451
35-44,B,50-74K,Probable Renter,2 Adults Kids,5+,2,1452
19-24,B,35-49K,Renter,Single Female,3,1,1453
35-44,U,75-99K,Probable Owner,Single Female,1,3+,1454
25-34,B,35-49K,Homeowner,Single Female,4,1,1455
65+,A,125-149K,Homeowner,2 Adults No Kids,1,None/Unknown,1456
19-24,U,200-249K,Unknown,Single Male,4,None/Unknown,1457
55-64,A,35-49K,Probable Renter,Unknown,2,2,1458
45-54,B,Under 15K,Unknown,2 Adults No Kids,2,1,1459
35-44,U,50-74K,Probable Renter,Unknown,1,1,1460
55-64,B,50-74K,Probable Renter,1 Adult Kids,5+,2,1461
19-24,A,250K+,Probable Owner,Single Male,4,3+,1462
45-54,U,100-124K,Unknown,1 Adult Kids,2,3+,1463
19-24,U,50-74K,Probable Owner,Single Male,1,3+,1464
25-34,B,100-124K,Unknown,1 Adult Kids,4,3+,1465
45-54,A,75-99K,Unknown,1 Adult Kids,2,3+,1466
25-34,A,25-34K,Probable Renter,1 Adult Kids,3,2,1467
19-24,A,150-174K,Probable Owner,1 Adult Kids,2,2,1468
65+,B,125-149K,Unknown,1 Adult Kids,3,3+,1469
19-24,B,175-199K,Unknown,2 Adults No Kids,1,1,1470
25-34,A,Under 15K,Unknown,Unknown,3,2,1471
55-64,U,200-249K,Homeowner,Single Male,2,2,1472
65+,U,15-24K,Homeowner,1 Adult Kids,4,3+,1473
19-24,U,250K+,Probable Owner,1 Adult Kids,3,2,1474
55-64,A,200-249K,Probable Owner,2 Adults No Kids,4,3+,1475
19-24,U,50-74K,Unknown,1 Adult Kids,3,3+,1476
25-34,B,15-24K,Homeowner,2 Adults Kids,5+,3+,1477
19-24,U,125-149K,Renter,2 Adults No Kids,2,1,1478
45-54,B,250K+,Homeowner,Single Female,2,2,1479
65+,B,200-249K,Unknown,Single Female,2,None/Unknown,1480
19-24,U,150-174K,Probable Owner,Single Female,3,2,1481
45-54,A,35-49K,Homeowner,Single Female,3,3+,1482
25-34,U,250K+,Probable Renter,Unknown,4,None/Unknown,1483
25-34,U,175-199K,Homeowner,Unknown,5+,2,1484
55-64,A,175-199K,Homeowner,Single Female,5+,2,1485
55-64,B,175-199K,Renter,Single Male,4,3+,1486
35-44,B,35-49K,Probable Owner,Unknown,4,None/Unknown,1487
35-44,A,175-199K,Probable Renter,Single Female,3,1,1488
45-54,B,175-199K,Probable Renter,Single Female,5+,1,1489
65+,U,35-49K,Probable Owner,2 Adults No Kids,5+,None/Unknown,1490
45-54,A,15-24K,Renter,Unknown,4,1,1491
19-24,U,150-174K,Renter,Single Female,5+,3+,1492
65+,U,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,1493
