DESCRIPTION,CAMPAIGN,START_DAY,END_DAY
T01395,15,387,445
T01396,16,190,213
T01397,17,516,560
T01398,18,604,636
T01399,19,484,512
T01400,20,90,108
T01401,21,16,67
T01402,22,518,540
T01403,23,61,93
T01404,24,534,555
T01405,25,417,437
T01406,26,66,92
T01407,27,256,297
T01408,28,177,226
T01409,29,563,620
T01410,30,379,423
T01411,1,658,675
T01412,2,106,143
T01413,3,557,609
T01414,4,418,462
T01415,5,111,161
T01416,6,426,462
T01417,7,164,219
T01418,8,444,499
T01419,9,246,305
T01420,10,10,34
T01421,11,687,727
T01422,12,431,484
T01423,13,539,555
T01424,14,210,232
T01425,15,658,715
T01426,16,454,514
T01427,17,215,265
T01428,18,579,619
T01429,19,445,483
T01430,20,183,233
T01431,21,22,72
T01432,22,70,97
T01433,23,468,500
T01434,24,69,93
T01435,25,559,586
T01436,26,601,658
T01437,27,74,130
T01438,28,453,489
T01439,29,684,722
T01440,30,498,525
T01441,1,348,364
T01442,2,700,748
T01443,3,180,202
T01444,4,11,70
T01445,5,281,326
T01446,6,674,731
T01447,7,226,241
T01448,8,98,149
T01449,9,134,164
T01450,10,590,647
T01451,11,29,71
T01452,12,287,333
T01453,13,544,569
T01454,14,285,305
T01455,15,561,588
T01456,16,657,684
T01457,17,362,402
T01458,18,479,502
T01459,19,32,76
T01460,20,696,753
T01461,21,65,120
T01462,22,603,618
T01463,23,112,143
T01464,24,496,524
T01465,25,284,306
T01466,26,479,504
T01467,27,178,195
T01468,28,529,579
T01469,29,378,426
T01470,30,11,64
T01471,1,27,83
T01472,2,108,145
T01473,3,77,120
T01474,4,291,347
T01475,5,553,604
T01476,6,517,557
T01477,7,136,158
T01478,8,20,60
T01479,9,550,590
T01480,10,493,522
T01481,11,420,451
T01482,12,245,299
T01483,13,548,600
T01484,14,273,291
T01485,15,382,406
T01486,16,255,291
T01487,17,603,650
T01488,18,188,243
T01489,19,64,86
T01490,20,586,640
T01491,21,43,61
T01492,22,404,463
T01493,23,411,448
T01494,24,109,146
T01495,25,72,115
T01496,26,270,315
T01497,27,452,476
T01498,28,249,305
T01499,29,289,316
T01500,30,441,480
T01501,1,641,681
T01502,2,290,332
T01503,3,637,684
T01504,4,673,729
T01505,5,299,353
T01506,6,442,477
T01507,7,668,682
T01508,8,223,252
T01509,9,367,382
T01510,10,273,311
T01511,11,518,576
T01512,12,49,107
T01513,13,105,139
T01514,14,138,180
T01515,15,416,452
T01516,16,39,92
T01517,17,403,419
T01518,18,253,269
T01519,19,466,503
T01520,20,514,549
T01521,21,419,471
T01522,22,682,708
T01523,23,638,693
T01524,24,425,453
T01525,25,136,161
T01526,26,603,656
T01527,27,126,178
T01528,28,266,326
T01529,29,650,685
T01530,30,497,535
T01531,1,242,297
T01532,2,262,289
T01533,3,254,306
T01534,4,596,641
T01535,5,72,97
T01536,6,251,291
T01537,7,226,242
T01538,8,447,468
T01539,9,622,650
T01540,10,456,515
T01541,11,683,743
T01542,12,479,534
T01543,13,64,103
T01544,14,123,176
T01545,15,518,562
T01546,16,548,608
T01547,17,49,104
T01548,18,83,132
T01549,19,477,534
T01550,20,68,108
T01551,21,394,449
T01552,22,600,650
T01553,23,206,237
T01554,24,666,685
T01555,25,57,92
T01556,26,349,387
T01557,27,500,557
T01558,28,169,199
T01559,29,132,174
T01560,30,281,303
T01561,1,36,90
T01562,2,666,708
T01563,3,525,557
T01564,4,183,237
T01565,5,474,495
T01566,6,470,526
T01567,7,65,91
T01568,8,450,485
T01569,9,410,443
T01570,10,571,611
T01571,11,452,473
T01572,12,270,298
T01573,13,423,454
T01574,14,546,596
T01575,15,237,275
T01576,16,86,129
T01577,17,323,375
T01578,18,12,58
T01579,19,526,580
T01580,20,489,547
T01581,21,14,31
T01582,22,160,197
T01583,23,111,158
T01584,24,570,594
T01585,25,572,593
T01586,26,404,420
T01587,27,172,206
T01588,28,256,285
T01589,29,269,301
T01590,30,71,92
T01591,1,2,26
T01592,2,179,195
T01593,3,76,104
T01594,4,577,599
T01595,5,74,114
T01596,6,26,80
T01597,7,588,610
T01598,8,153,200
T01599,9,627,653
T01600,10,470,484
T01601,11,612,672
T01602,12,640,685
T01603,13,179,219
T01604,14,251,280
T01605,15,153,203
T01606,16,201,229
T01607,17,681,698
T01608,18,13,36
T01609,19,209,233
T01610,20,556,614
T01611,21,331,355
T01612,22,123,146
T01613,23,275,289
T01614,24,42,80
T01615,25,142,164
T01616,26,278,298
T01617,27,495,528
T01618,28,541,580
T01619,29,45,60
T01620,30,411,442
T01621,1,607,664
T01622,2,525,571
T01623,3,162,192
T01624,4,465,523
T01625,5,445,497
T01626,6,26,80
T01627,7,174,225
T01628,8,16,41
T01629,9,475,514
T01630,10,600,659
T01631,11,622,673
T01632,12,23,54
T01633,13,323,339
T01634,14,689,738
T01635,15,191,206
T01636,16,652,676
T01637,17,444,504
T01638,18,637,659
T01639,19,469,518
T01640,20,170,227
T01641,21,634,679
T01642,22,166,201
T01643,23,219,269
T01644,24,539,565
T01645,25,502,534
T01646,26,324,352
T01647,27,455,486
T01648,28,54,72
T01649,29,191,229
T01650,30,556,587
T01651,1,628,644
T01652,2,550,586
T01653,3,427,459
T01654,4,204,227
T01655,5,664,678
T01656,6,422,457
T01657,7,638,666
T01658,8,121,144
T01659,9,270,317
T01660,10,245,293
T01661,11,182,224
T01662,12,624,641
T01663,13,400,454
T01664,14,324,357
T01665,15,346,388
T01666,16,244,274
T01667,17,688,737
T01668,18,337,368
T01669,19,121,148
T01670,20,139,167
T01671,21,447,485
T01672,22,74,114
T01673,23,188,225
T01674,24,187,215
T01675,25,33,89
T01676,26,690,739
T01677,27,70,122
T01678,28,686,729
T01679,29,223,280
T01680,30,197,256
T01681,1,652,682
T01682,2,630,663
T01683,3,342,365
T01684,4,16,46
T01685,5,365,388
T01686,6,287,310
T01687,7,672,689
T01688,8,363,387
T01689,9,424,481
T01690,10,504,530
T01691,11,531,586
T01692,12,523,576
T01693,13,13,68
T01694,14,463,501
T01695,15,117,146
T01696,16,124,178
T01697,17,562,606
T01698,18,393,421
T01699,19,676,732
T01700,20,625,660
T01701,21,298,357
T01702,22,43,58
T01703,23,176,198
T01704,24,9,68
T01705,25,163,222
T01706,26,445,488
T01707,27,573,622
T01708,28,429,480
T01709,29,369,389
T01710,30,161,205
T01711,1,2,36
T01712,2,501,516
T01713,3,164,208
T01714,4,196,250
T01715,5,22,79
T01716,6,239,286
T01717,7,188,205
T01718,8,56,70
T01719,9,687,703
T01720,10,224,275
T01721,11,13,32
T01722,12,113,130
T01723,13,573,590
T01724,14,52,102
T01725,15,178,227
T01726,16,173,194
T01727,17,4,30
T01728,18,557,604
T01729,19,493,539
T01730,20,108,143
T01731,21,118,150
T01732,22,108,151
T01733,23,516,567
T01734,24,165,206
T01735,25,376,408
T01736,26,57,76
T01737,27,404,429
T01738,28,289,311
T01739,29,609,645
T01740,30,693,730
T01741,1,378,406
T01742,2,523,567
T01743,3,51,101
T01744,4,490,541
T01745,5,92,126
T01746,6,679,712
T01747,7,163,188
T01748,8,53,90
T01749,9,563,619
T01750,10,205,227
T01751,11,533,561
T01752,12,481,499
T01753,13,384,431
T01754,14,494,529
T01755,15,320,350
T01756,16,625,664
T01757,17,220,245
T01758,18,272,295
T01759,19,299,338
T01760,20,415,432
T01761,21,320,365
T01762,22,186,238
T01763,23,263,309
T01764,24,274,297
T01765,25,189,204
T01766,26,630,645
T01767,27,15,35
T01768,28,299,327
T01769,29,101,117
T01770,30,70,111
T01771,1,657,674
T01772,2,618,660
T01773,3,27,68
T01774,4,471,526
T01775,5,47,77
T01776,6,251,265
T01777,7,165,196
T01778,8,112,165
T01779,9,221,257
T01780,10,33,79
T01781,11,14,51
T01782,12,274,299
T01783,13,210,238
T01784,14,359,404
T01785,15,291,309
T01786,16,365,386
T01787,17,564,585
T01788,18,241,271
T01789,19,182,239
T01790,20,556,610
T01791,21,527,548
T01792,22,371,390
T01793,23,674,705
T01794,24,453,513
T01795,25,247,297
T01796,26,590,604
T01797,27,334,362
T01798,28,476,527
T01799,29,669,728
T01800,30,651,702
T01801,1,583,603
T01802,2,354,410
T01803,3,343,388
T01804,4,154,203
T01805,5,495,533
T01806,6,564,597
T01807,7,664,684
T01808,8,535,555
T01809,9,434,456
T01810,10,569,594
T01811,11,398,419
T01812,12,204,243
T01813,13,146,176
T01814,14,240,294
T01815,15,299,355
T01816,16,122,172
T01817,17,87,130
T01818,18,687,741
T01819,19,204,262
T01820,20,588,622
T01821,21,579,607
T01822,22,156,207
T01823,23,370,403
T01824,24,273,333
T01825,25,29,64
T01826,26,328,359
T01827,27,648,686
T01828,28,243,300
T01829,29,144,163
T01830,30,568,593
T01831,1,455,470
T01832,2,11,50
T01833,3,143,184
T01834,4,567,607
T01835,5,98,114
T01836,6,572,605
T01837,7,305,349
T01838,8,429,445
T01839,9,655,700
T01840,10,505,557
T01841,11,521,572
T01842,12,540,590
T01843,13,395,452
T01844,14,162,209
T01845,15,424,469
T01846,16,299,326
T01847,17,238,264
T01848,18,634,689
T01849,19,566,618
T01850,20,534,569
T01851,21,160,194
T01852,22,570,616
T01853,23,60,93
T01854,24,585,640
T01855,25,408,466
T01856,26,166,202
T01857,27,171,207
T01858,28,330,379
T01859,29,31,60
T01860,30,116,150
T01861,1,227,279
T01862,2,344,371
T01863,3,67,127
T01864,4,200,218
T01865,5,218,254
T01866,6,133,151
T01867,7,310,370
T01868,8,519,554
T01869,9,678,722
T01870,10,347,365
T01871,11,461,492
T01872,12,241,259
T01873,13,622,647
T01874,14,646,686
T01875,15,132,151
T01876,16,602,644
T01877,17,253,273
T01878,18,306,343
T01879,19,463,488
T01880,20,438,493
T01881,21,377,410
T01882,22,191,225
T01883,23,527,583
T01884,24,435,474
T01885,25,4,25
T01886,26,584,641
T01887,27,270,309
T01888,28,106,127
T01889,29,434,448
T01890,30,552,573
T01891,1,19,64
T01892,2,305,361
T01893,3,345,369
T01894,4,364,397
T01895,5,655,703
T01896,6,414,435
T01897,7,661,696
T01898,8,43,90
T01899,9,370,404
T01900,10,114,133
T01901,11,51,105
T01902,12,551,566
T01903,13,200,214
T01904,14,411,468
T01905,15,119,155
T01906,16,303,347
T01907,17,96,113
T01908,18,327,370
T01909,19,551,594
T01910,20,63,92
T01911,21,642,685
T01912,22,108,135
T01913,23,114,133
T01914,24,600,633
T01915,25,655,677
T01916,26,467,485
T01917,27,46,63
T01918,28,203,243
T01919,29,395,436
T01920,30,10,51
T01921,1,215,238
T01922,2,569,627
T01923,3,484,537
T01924,4,537,586
T01925,5,67,103
T01926,6,599,630
T01927,7,688,723
T01928,8,439,456
T01929,9,404,454
T01930,10,651,686
T01931,11,332,387
T01932,12,607,657
T01933,13,111,146
T01934,14,182,213
T01935,15,185,229
T01936,16,322,378
T01937,17,61,113
T01938,18,32,52
T01939,19,386,440
T01940,20,107,142
T01941,21,202,256
T01942,22,697,736
T01943,23,263,294
T01944,24,227,245
T01945,25,391,415
T01946,26,227,241
T01947,27,27,56
T01948,28,7,22
T01949,29,316,373
T01950,30,360,415
T01951,1,175,191
T01952,2,540,564
T01953,3,208,242
T01954,4,4,57
T01955,5,388,434
T01956,6,548,594
T01957,7,562,622
T01958,8,236,254
T01959,9,90,122
T01960,10,607,646
T01961,11,203,261
T01962,12,522,562
T01963,13,508,548
T01964,14,555,585
T01965,15,272,303
T01966,16,68,124
T01967,17,154,175
T01968,18,610,628
T01969,19,495,512
T01970,20,392,415
T01971,21,148,202
T01972,22,114,159
T01973,23,556,607
T01974,24,316,338
T01975,25,423,483
T01976,26,4,30
T01977,27,155,169
T01978,28,8,68
T01979,29,217,273
T01980,30,585,600
T01981,1,164,217
T01982,2,117,152
T01983,3,317,339
T01984,4,361,413
T01985,5,319,377
T01986,6,157,203
T01987,7,254,305
T01988,8,572,592
T01989,9,113,136
T01990,10,118,134
T01991,11,344,395
T01992,12,505,519
T01993,13,88,113
T01994,14,268,325
T01995,15,288,311
T01996,16,203,242
T01997,17,8,66
T01998,18,146,180
T01999,19,426,471
T02000,20,241,266
T02001,21,173,225
T02002,22,126,168
T02003,23,106,130
T02004,24,256,316
T02005,25,192,209
T02006,26,613,673
T02007,27,332,367
T02008,28,314,328
T02009,29,636,662
T02010,30,287,315
T02011,1,386,445
T02012,2,523,577
T02013,3,554,594
T02014,4,587,607
T02015,5,287,336
T02016,6,57,84
T02017,7,29,68
T02018,8,420,457
T02019,9,407,464
T02020,10,592,618
T02021,11,21,81
T02022,12,28,88
T02023,13,650,702
T02024,14,40,69
T02025,15,521,578
T02026,16,493,527
T02027,17,657,692
T02028,18,426,468
T02029,19,394,413
T02030,20,240,271
T02031,21,187,236
T02032,22,134,162
T02033,23,198,229
T02034,24,277,306
T02035,25,22,80
T02036,26,258,302
T02037,27,93,126
T02038,28,177,222
T02039,29,137,197
T02040,30,12,48
T02041,1,83,109
T02042,2,618,654
T02043,3,292,312
T02044,4,298,348
T02045,5,114,155
T02046,6,121,176
T02047,7,92,111
T02048,8,154,201
T02049,9,262,285
T02050,10,327,367
T02051,11,658,677
T02052,12,612,651
T02053,13,178,207
T02054,14,138,192
T02055,15,413,461
T02056,16,429,452
T02057,17,377,396
T02058,18,198,241
T02059,19,489,512
T02060,20,486,525
T02061,21,685,737
T02062,22,5,41
T02063,23,371,407
T02064,24,616,630
T02065,25,526,558
T02066,26,676,723
T02067,27,212,232
T02068,28,16,43
T02069,29,273,306
T02070,30,420,472
T02071,1,274,301
T02072,2,59,101
T02073,3,289,341
T02074,4,515,570
T02075,5,179,196
T02076,6,621,665
T02077,7,662,701
T02078,8,515,533
T02079,9,149,192
T02080,10,525,571
T02081,11,529,588
T02082,12,634,648
T02083,13,70,125
T02084,14,184,207
T02085,15,416,469
T02086,16,579,615
T02087,17,91,143
T02088,18,53,93
T02089,19,174,226
T02090,20,312,345
T02091,21,146,161
T02092,22,380,405
T02093,23,23,49
T02094,24,39,80
T02095,25,346,391
T02096,26,105,128
T02097,27,574,619
T02098,28,363,422
T02099,29,213,240
T02100,30,681,713
T02101,1,519,534
T02102,2,667,716
T02103,3,20,38
T02104,4,202,243
T02105,5,58,91
T02106,6,577,609
T02107,7,508,538
T02108,8,133,154
T02109,9,284,309
T02110,10,345,375
T02111,11,550,575
T02112,12,465,485
T02113,13,574,625
T02114,14,570,585
T02115,15,302,336
T02116,16,470,509
T02117,17,598,623
T02118,18,174,224
T02119,19,437,461
T02120,20,365,414
T02121,21,305,349
T02122,22,653,668
T02123,23,493,550
T02124,24,160,181
T02125,25,482,523
T02126,26,609,663
T02127,27,692,743
T02128,28,607,644
T02129,29,640,657
T02130,30,361,389
T02131,1,47,77
T02132,2,275,303
T02133,3,89,144
T02134,4,625,668
T02135,5,308,325
T02136,6,403,432
T02137,7,661,714
T02138,8,370,423
T02139,9,52,96
T02140,10,2,18
T02141,11,640,682
T02142,12,294,311
T02143,13,479,508
T02144,14,246,296
T02145,15,500,527
T02146,16,335,356
T02147,17,26,77
T02148,18,8,59
T02149,19,205,261
T02150,20,216,235
T02151,21,534,574
T02152,22,526,555
T02153,23,684,735
T02154,24,537,594
T02155,25,331,381
T02156,26,68,98
T02157,27,393,446
T02158,28,250,289
T02159,29,386,446
T02160,30,399,427
T02161,1,598,616
T02162,2,694,743
T02163,3,589,606
T02164,4,44,95
T02165,5,121,167
T02166,6,1,45
T02167,7,240,294
T02168,8,165,185
T02169,9,532,583
T02170,10,641,677
T02171,11,127,158
T02172,12,659,677
T02173,13,629,674
T02174,14,210,241
T02175,15,539,578
T02176,16,33,75
T02177,17,700,719
T02178,18,466,526
T02179,19,499,533
T02180,20,298,335
T02181,21,19,64
T02182,22,653,713
T02183,23,372,431
T02184,24,406,452
T02185,25,674,715
T02186,26,562,577
T02187,27,302,347
T02188,28,509,567
T02189,29,587,604
T02190,30,60,79
T02191,1,646,672
T02192,2,574,632
T02193,3,546,583
T02194,4,591,633
T02195,5,689,737
T02196,6,472,490
T02197,7,593,612
T02198,8,256,309
T02199,9,192,210
T02200,10,121,166
T02201,11,57,91
T02202,12,595,627
T02203,13,399,437
T02204,14,604,642
T02205,15,110,140
T02206,16,688,732
T02207,17,593,636
T02208,18,686,736
T02209,19,204,250
T02210,20,595,617
T02211,21,401,453
T02212,22,274,321
T02213,23,95,123
T02214,24,683,712
T02215,25,383,405
T02216,26,604,660
T02217,27,364,395
T02218,28,647,664
T02219,29,648,704
T02220,30,31,67
T02221,1,298,333
T02222,2,238,253
T02223,3,317,339
T02224,4,112,144
T02225,5,247,266
T02226,6,429,469
T02227,7,358,379
T02228,8,572,623
T02229,9,601,654
T02230,10,261,276
T02231,11,203,242
T02232,12,678,738
T02233,13,268,284
T02234,14,143,194
T02235,15,554,573
T02236,16,444,490
T02237,17,500,549
T02238,18,654,681
T02239,19,218,243
T02240,20,389,413
T02241,21,126,141
T02242,22,24,52
T02243,23,687,735
T02244,24,345,391
T02245,25,630,661
T02246,26,488,510
T02247,27,580,601
T02248,28,340,377
T02249,29,103,137
T02250,30,681,706
T02251,1,108,159
T02252,2,542,568
T02253,3,418,476
T02254,4,146,173
T02255,5,29,77
T02256,6,83,137
T02257,7,474,497
T02258,8,408,423
T02259,9,493,534
T02260,10,91,113
T02261,11,283,305
T02262,12,52,85
T02263,13,265,283
T02264,14,341,380
T02265,15,556,613
T02266,16,140,200
T02267,17,665,682
T02268,18,483,506
T02269,19,496,553
T02270,20,610,660
T02271,21,638,692
T02272,22,583,615
T02273,23,586,644
T02274,24,629,660
T02275,25,645,662
T02276,26,124,183
T02277,27,529,582
T02278,28,534,584
T02279,29,179,217
T02280,30,435,460
T02281,1,590,618
T02282,2,662,700
T02283,3,461,491
T02284,4,58,104
T02285,5,671,711
T02286,6,377,417
T02287,7,40,55
T02288,8,169,194
T02289,9,597,632
T02290,10,503,518
T02291,11,229,262
T02292,12,605,631
T02293,13,355,392
T02294,14,218,249
T02295,15,121,165
T02296,16,399,416
T02297,17,492,544
T02298,18,535,580
T02299,19,403,447
T02300,20,610,662
T02301,21,249,289
T02302,22,566,619
T02303,23,127,179
T02304,24,367,392
T02305,25,46,97
T02306,26,543,576
T02307,27,386,444
T02308,28,251,283
T02309,29,504,546
T02310,30,479,509
T02311,1,108,144
T02312,2,307,348
T02313,3,201,255
T02314,4,224,257
T02315,5,697,730
T02316,6,126,179
T02317,7,38,57
T02318,8,182,231
T02319,9,29,54
T02320,10,594,612
T02321,11,311,337
T02322,12,590,620
T02323,13,150,167
T02324,14,455,485
T02325,15,514,531
T02326,16,70,105
T02327,17,369,421
T02328,18,469,493
T02329,19,59,95
T02330,20,395,429
T02331,21,140,164
T02332,22,467,486
T02333,23,620,642
T02334,24,430,484
T02335,25,563,578
T02336,26,476,513
T02337,27,37,92
T02338,28,56,106
T02339,29,397,440
T02340,30,5,51
T02341,1,242,269
T02342,2,534,581
T02343,3,540,554
T02344,4,440,490
T02345,5,471,500
T02346,6,204,251
T02347,7,132,178
T02348,8,495,541
T02349,9,632,686
T02350,10,636,693
T02351,11,82,139
T02352,12,453,476
T02353,13,202,237
T02354,14,187,236
T02355,15,551,571
T02356,16,365,385
T02357,17,195,236
T02358,18,611,663
T02359,19,174,220
T02360,20,511,531
T02361,21,26,41
T02362,22,184,211
T02363,23,593,637
T02364,24,464,479
T02365,25,276,304
T02366,26,69,96
T02367,27,299,335
T02368,28,380,398
T02369,29,418,445
T02370,30,543,589
T02371,1,517,546
T02372,2,183,229
T02373,3,625,678
T02374,4,453,510
T02375,5,118,134
T02376,6,380,423
T02377,7,330,360
T02378,8,629,677
T02379,9,80,101
T02380,10,78,126
T02381,11,15,68
T02382,12,573,592
T02383,13,420,461
T02384,14,10,70
T02385,15,559,609
T02386,16,564,619
T02387,17,618,638
T02388,18,121,144
T02389,19,521,542
T02390,20,307,351
T02391,21,101,132
T02392,22,244,293
T02393,23,694,726
T02394,24,34,54
T02395,25,93,128
T02396,26,647,679
T02397,27,30,87
T02398,28,207,233
T02399,29,349,402
T02400,30,435,486
T02401,1,57,74
T02402,2,471,487
T02403,3,337,371
T02404,4,209,224
T02405,5,636,677
T02406,6,138,198
T02407,7,504,546
T02408,8,85,134
T02409,9,430,481
T02410,10,530,570
T02411,11,549,575
T02412,12,61,82
T02413,13,456,501
T02414,14,433,458
T02415,15,416,433
T02416,16,627,684
T02417,17,260,320
T02418,18,638,661
T02419,19,492,549
T02420,20,315,352
T02421,21,252,296
T02422,22,615,652
T02423,23,662,701
T02424,24,633,673
T02425,25,564,588
T02426,26,406,464
T02427,27,60,119
T02428,28,413,465
T02429,29,148,197
T02430,30,20,53
T02431,1,122,164
T02432,2,632,686
T02433,3,383,432
T02434,4,550,607
T02435,5,224,240
T02436,6,243,271
T02437,7,350,367
T02438,8,28,55
T02439,9,455,493
T02440,10,403,419
T02441,11,35,60
T02442,12,532,566
T02443,13,336,353
T02444,14,214,263
T02445,15,287,344
T02446,16,450,469
T02447,17,7,47
T02448,18,529,584
T02449,19,636,681
T02450,20,199,217
T02451,21,480,509
T02452,22,442,484
T02453,23,153,182
T02454,24,81,98
T02455,25,690,711
T02456,26,32,85
T02457,27,297,333
T02458,28,592,635
T02459,29,364,420
T02460,30,107,136
T02461,1,32,52
T02462,2,170,184
T02463,3,512,540
T02464,4,24,72
T02465,5,80,118
T02466,6,206,238
T02467,7,513,534
T02468,8,85,100
T02469,9,348,363
T02470,10,138,181
T02471,11,172,207
T02472,12,663,705
T02473,13,468,493
T02474,14,444,463
T02475,15,620,654
T02476,16,545,604
T02477,17,317,346
T02478,18,397,418
T02479,19,167,212
T02480,20,195,231
T02481,21,575,611
T02482,22,558,614
T02483,23,151,183
T02484,24,200,233
T02485,25,539,562
T02486,26,147,194
T02487,27,8,54
T02488,28,340,382
T02489,29,390,414
T02490,30,678,705
T02491,1,395,419
T02492,2,243,293
T02493,3,85,125
T02494,4,108,137
T02495,5,348,362
T02496,6,147,180
T02497,7,547,603
T02498,8,352,386
T02499,9,181,216
T02500,10,401,447
T02501,11,457,515
T02502,12,643,660
T02503,13,538,586
T02504,14,42,81
T02505,15,212,248
T02506,16,492,515
T02507,17,594,640
T02508,18,643,695
T02509,19,563,586
T02510,20,45,81
T02511,21,313,332
T02512,22,246,289
T02513,23,177,225
T02514,24,183,236
T02515,25,99,124
T02516,26,450,469
T02517,27,410,442
T02518,28,238,259
T02519,29,643,682
T02520,30,636,671
T02521,1,659,708
T02522,2,61,78
T02523,3,421,468
T02524,4,272,290
T02525,5,79,120
T02526,6,35,59
T02527,7,645,662
T02528,8,65,89
T02529,9,149,169
T02530,10,141,177
T02531,11,553,586
T02532,12,503,526
T02533,13,243,290
T02534,14,472,505
T02535,15,528,560
T02536,16,519,569
T02537,17,233,288
T02538,18,419,469
T02539,19,519,533
T02540,20,132,156
T02541,21,345,361
T02542,22,577,597
T02543,23,223,260
T02544,24,677,737
T02545,25,479,538
T02546,26,676,725
T02547,27,94,121
T02548,28,482,540
T02549,29,274,299
T02550,30,109,142
T02551,1,81,115
T02552,2,482,497
T02553,3,582,634
T02554,4,384,406
T02555,5,126,143
T02556,6,273,312
T02557,7,5,40
T02558,8,637,685
T02559,9,608,658
T02560,10,168,207
T02561,11,123,144
T02562,12,25,82
T02563,13,306,338
T02564,14,498,554
T02565,15,423,479
T02566,16,112,170
T02567,17,293,343
T02568,18,273,299
T02569,19,303,317
T02570,20,356,373
T02571,21,82,110
T02572,22,426,472
T02573,23,104,156
T02574,24,314,371
T02575,25,678,715
T02576,26,466,500
T02577,27,264,322
T02578,28,372,396
T02579,29,226,260
T02580,30,380,426
T02581,1,617,660
T02582,2,129,180
T02583,3,324,361
T02584,4,4,40
T02585,5,374,397
T02586,6,288,306
T02587,7,102,116
T02588,8,532,577
T02589,9,659,678
T02590,10,333,366
T02591,11,11,64
T02592,12,578,602
T02593,13,177,230
T02594,14,689,715
T02595,15,297,337
T02596,16,409,433
T02597,17,612,654
T02598,18,164,201
T02599,19,302,351
T02600,20,230,266
T02601,21,282,319
T02602,22,620,671
T02603,23,325,368
T02604,24,192,233
T02605,25,213,246
T02606,26,532,569
T02607,27,344,400
T02608,28,9,26
T02609,29,159,188
T02610,30,32,84
T02611,1,668,711
T02612,2,163,215
T02613,3,388,445
T02614,4,468,516
T02615,5,162,210
T02616,6,407,445
T02617,7,82,132
T02618,8,520,542
T02619,9,525,559
T02620,10,639,654
T02621,11,276,292
T02622,12,429,451
T02623,13,55,105
T02624,14,655,688
T02625,15,225,257
T02626,16,118,132
T02627,17,156,184
T02628,18,18,38
T02629,19,679,705
T02630,20,53,74
T02631,21,72,101
T02632,22,143,181
T02633,23,248,277
T02634,24,613,661
T02635,25,566,606
T02636,26,528,561
T02637,27,607,647
T02638,28,437,477
T02639,29,544,583
T02640,30,495,521
T02641,1,283,329
T02642,2,128,164
T02643,3,246,296
T02644,4,89,114
T02645,5,173,192
T02646,6,615,629
T02647,7,261,287
T02648,8,674,713
T02649,9,34,68
T02650,10,430,480
T02651,11,57,88
T02652,12,244,284
T02653,13,311,369
T02654,14,261,291
T02655,15,678,716
T02656,16,632,662
T02657,17,310,332
T02658,18,664,682
T02659,19,78,92
T02660,20,421,463
T02661,21,15,68
T02662,22,626,680
T02663,23,46,83
T02664,24,214,268
T02665,25,39,67
T02666,26,176,216
T02667,27,642,661
T02668,28,347,367
T02669,29,648,697
T02670,30,473,493
T02671,1,34,64
T02672,2,21,78
T02673,3,313,344
T02674,4,439,469
T02675,5,411,439
T02676,6,545,595
T02677,7,573,624
T02678,8,156,179
T02679,9,530,563
T02680,10,40,58
T02681,11,316,376
T02682,12,263,317
T02683,13,631,676
T02684,14,586,602
T02685,15,663,719
T02686,16,347,401
T02687,17,506,561
T02688,18,225,259
T02689,19,519,536
T02690,20,341,372
T02691,21,113,154
T02692,22,250,270
T02693,23,524,576
T02694,24,164,206
T02695,25,366,382
T02696,26,2,42
T02697,27,675,732
T02698,28,580,604
T02699,29,106,141
T02700,30,195,248
T02701,1,671,686
T02702,2,699,713
T02703,3,334,349
T02704,4,427,486
T02705,5,496,555
T02706,6,293,339
T02707,7,643,664
T02708,8,457,510
T02709,9,551,610
T02710,10,582,599
T02711,11,207,264
T02712,12,647,675
T02713,13,34,63
T02714,14,607,636
T02715,15,495,531
T02716,16,657,713
T02717,17,524,544
T02718,18,221,279
T02719,19,2,60
T02720,20,103,125
T02721,21,92,135
T02722,22,24,77
T02723,23,600,659
T02724,24,292,324
T02725,25,603,637
T02726,26,474,492
T02727,27,552,570
T02728,28,212,242
T02729,29,117,134
T02730,30,189,241
T02731,1,28,69
T02732,2,121,159
T02733,3,581,601
T02734,4,557,592
T02735,5,218,258
T02736,6,79,96
T02737,7,425,470
T02738,8,29,72
T02739,9,406,457
T02740,10,387,431
T02741,11,7,32
T02742,12,333,392
T02743,13,542,595
T02744,14,126,148
T02745,15,487,507
T02746,16,482,526
T02747,17,249,273
T02748,18,408,456
T02749,19,670,704
T02750,20,659,704
T02751,21,548,566
T02752,22,62,98
T02753,23,132,178
T02754,24,608,640
T02755,25,65,105
T02756,26,678,736
T02757,27,565,606
T02758,28,240,258
T02759,29,513,549
T02760,30,381,403
T02761,1,679,713
T02762,2,426,469
T02763,3,388,447
T02764,4,497,545
T02765,5,450,503
T02766,6,677,691
T02767,7,330,363
T02768,8,126,145
T02769,9,434,490
T02770,10,390,442
T02771,11,96,115
T02772,12,367,394
T02773,13,296,311
T02774,14,654,688
T02775,15,149,182
T02776,16,143,184
T02777,17,617,670
T02778,18,422,478
T02779,19,600,641
T02780,20,584,626
T02781,21,422,469
T02782,22,438,491
T02783,23,585,599
T02784,24,53,96
T02785,25,572,597
T02786,26,516,537
T02787,27,410,424
T02788,28,268,289
T02789,29,250,295
T02790,30,605,664
T02791,1,658,699
