DESCRIPTION,household_key,CAMPAIGN
T00009,9400,9
T00010,1903,10
T00001,8122,1
T00024,6084,24
T00017,7688,17
T00024,7987,24
T00022,7125,22
T00021,9671,21
T00017,7887,17
T00019,6488,19
T00026,342,26
T00018,7322,18
T00029,969,29
T00020,9659,20
T00020,3349,20
T00012,4398,12
T00023,2647,23
T00015,6952,15
T00029,2078,29
T00020,3459,20
T00003,7610,3
T00030,7683,30
T00002,8029,2
T00015,2131,15
T00026,3963,26
T00022,571,22
T00022,7039,22
T00014,9515,14
T00010,1760,10
T00014,3047,14
T00002,4085,2
T00004,5793,4
T00028,9515,28
T00004,5393,4
T00028,7635,28
T00007,1727,7
T00010,3086,10
T00001,5826,1
T00020,6496,20
T00004,6328,4
T00001,5946,1
T00001,5921,1
T00022,442,22
T00008,5444,8
T00003,8466,3
T00027,3329,27
T00017,6565,17
T00002,4741,2
T00022,293,22
T00001,9171,1
T00004,9331,4
T00025,9116,25
T00005,2693,5
T00021,2328,21
T00018,3978,18
T00005,9096,5
T00021,249,21
T00001,6628,1
T00011,5747,11
T00013,4926,13
T00006,4483,6
T00011,8678,11
T00003,9779,3
T00015,2624,15
T00028,3865,28
T00019,6530,19
T00004,2388,4
T00010,2732,10
T00022,2112,22
T00021,2867,21
T00014,1659,14
T00013,7177,13
T00008,3999,8
T00013,6734,13
T00002,6017,2
T00007,8542,7
T00025,9585,25
T00009,4171,9
T00011,2725,11
T00010,277,10
T00021,5295,21
T00028,4790,28
T00024,1107,24
T00008,2639,8
T00007,7368,7
T00003,5843,3
T00008,6027,8
T00028,7603,28
T00020,5556,20
T00008,9953,8
T00023,4893,23
T00024,5523,24
T00021,5982,21
T00020,2070,20
T00018,1778,18
T00024,5277,24
T00023,1695,23
T00025,5217,25
T00010,7733,10
T00026,3938,26
T00013,5997,13
T00007,1448,7
T00019,3887,19
T00007,6589,7
T00013,5563,13
T00005,22,5
T00008,5224,8
T00028,4470,28
T00013,1437,13
T00005,8435,5
T00001,5888,1
T00021,5006,21
T00027,3841,27
T00019,1646,19
T00027,3376,27
T00029,2207,29
T00006,6051,6
T00021,5484,21
T00014,511,14
T00002,1669,2
T00002,1847,2
T00010,5589,10
T00010,7934,10
T00018,3899,18
T00014,4502,14
T00028,3645,28
T00015,4265,15
T00017,2310,17
T00022,6605,22
T00005,3547,5
T00005,9324,5
T00022,9109,22
T00014,1594,14
T00018,8247,18
T00020,1096,20
T00017,6458,17
T00007,5761,7
T00025,9827,25
T00025,1202,25
T00005,4317,5
T00015,95,15
T00009,3150,9
T00004,2382,4
T00009,528,9
T00005,1198,5
T00010,912,10
T00020,9542,20
T00004,4624,4
T00026,9631,26
T00023,2503,23
T00003,4327,3
T00003,7175,3
T00004,379,4
T00023,1297,23
T00020,1495,20
T00026,5222,26
T00010,891,10
T00006,2500,6
T00025,4454,25
T00026,8914,26
T00024,1000,24
T00014,4119,14
T00006,178,6
T00010,9118,10
T00018,6981,18
T00007,3415,7
T00022,2798,22
T00001,1019,1
T00023,3057,23
T00014,8404,14
T00007,9608,7
T00015,913,15
T00001,7551,1
T00007,4405,7
T00019,5453,19
T00007,8791,7
T00022,1867,22
T00001,1920,1
T00008,6958,8
T00003,1397,3
T00027,5754,27
T00029,654,29
T00028,6597,28
T00010,7277,10
T00027,5816,27
T00013,6482,13
T00004,3181,4
T00020,6822,20
T00003,1301,3
T00002,7869,2
T00013,4308,13
T00015,3709,15
T00010,528,10
T00021,3934,21
T00014,1661,14
T00026,8602,26
T00009,577,9
T00013,1550,13
T00009,8733,9
T00021,5191,21
T00029,4450,29
T00014,533,14
T00027,828,27
T00017,1646,17
T00030,1124,30
T00017,4739,17
T00013,5193,13
T00001,3349,1
T00030,2128,30
T00026,386,26
T00025,7398,25
T00016,2938,16
T00013,1488,13
T00011,7072,11
T00027,8948,27
T00009,3748,9
T00022,3992,22
T00004,4650,4
T00030,7260,30
T00013,8588,13
T00023,4590,23
T00025,6615,25
T00008,8897,8
T00018,3761,18
T00010,8952,10
T00029,6907,29
T00021,3424,21
T00022,461,22
T00003,8590,3
T00030,9049,30
T00010,5105,10
T00011,31,11
T00023,2641,23
T00012,2527,12
T00018,4394,18
T00008,1843,8
T00005,9258,5
T00012,4463,12
T00008,1978,8
T00008,624,8
T00008,6118,8
T00006,9713,6
T00028,5090,28
T00015,2820,15
T00021,3258,21
T00019,306,19
T00001,6148,1
T00015,3026,15
T00017,2591,17
T00011,2772,11
T00027,4714,27
T00026,4209,26
T00006,3380,6
T00008,1491,8
T00021,1416,21
T00007,3069,7
T00015,7917,15
T00007,4542,7
T00005,1977,5
T00015,7121,15
T00024,9474,24
T00015,9254,15
T00029,7817,29
T00002,9878,2
T00020,9106,20
T00021,4374,21
T00012,2714,12
T00027,2290,27
T00001,5377,1
T00019,7871,19
T00025,9819,25
T00017,8715,17
T00009,6016,9
T00011,4979,11
T00006,7800,6
T00024,3596,24
T00001,5686,1
T00017,1807,17
T00014,3815,14
T00024,147,24
T00017,1237,17
T00021,8529,21
T00026,3744,26
T00006,8576,6
T00004,5839,4
T00019,5331,19
T00015,2914,15
T00014,7324,14
T00026,7026,26
T00022,8465,22
T00016,9315,16
T00018,7614,18
T00013,582,13
T00011,9902,11
T00003,2216,3
T00021,7400,21
T00019,8101,19
T00028,2257,28
T00017,9009,17
T00005,4160,5
T00026,7026,26
T00007,5685,7
T00018,5656,18
T00023,9934,23
T00007,2373,7
T00003,965,3
T00020,9116,20
T00011,5749,11
T00013,5285,13
T00027,7875,27
T00013,8944,13
T00001,1894,1
T00016,8728,16
T00005,9797,5
T00021,2809,21
T00014,8302,14
T00018,8531,18
T00012,1345,12
T00012,5664,12
T00021,1656,21
T00019,6428,19
T00011,7187,11
T00022,9151,22
T00003,6708,3
T00021,9989,21
T00004,7654,4
T00029,2472,29
T00028,3190,28
T00004,4097,4
T00023,419,23
T00009,2016,9
T00011,4038,11
T00012,4984,12
T00029,8507,29
T00004,3078,4
T00016,714,16
T00006,7022,6
T00030,8423,30
T00028,9530,28
T00024,2930,24
T00002,281,2
T00028,5568,28
T00018,2729,18
T00002,3967,2
T00028,5650,28
T00015,4782,15
T00029,4672,29
T00029,1071,29
T00017,1728,17
T00010,6772,10
T00029,9697,29
T00022,5617,22
T00022,745,22
T00029,7800,29
T00024,1060,24
T00023,4921,23
T00003,6114,3
T00025,8229,25
T00002,4187,2
T00014,5760,14
T00015,2150,15
T00003,1599,3
T00018,7323,18
T00026,2430,26
T00017,8756,17
T00009,3355,9
T00027,5434,27
T00020,7655,20
T00020,774,20
T00007,6142,7
T00013,5649,13
T00004,1148,4
T00014,9800,14
T00020,8210,20
T00014,62,14
T00016,8103,16
T00021,8539,21
T00027,4903,27
T00025,470,25
T00008,1793,8
T00022,497,22
T00012,9901,12
T00022,5477,22
T00029,3991,29
T00006,5933,6
T00023,203,23
T00017,5900,17
T00017,446,17
T00009,2295,9
T00013,7398,13
T00005,7070,5
T00019,6806,19
T00013,9185,13
T00005,4894,5
T00025,9701,25
T00027,4514,27
T00026,7487,26
T00009,6174,9
T00020,3015,20
T00011,7172,11
T00014,9281,14
T00005,4099,5
T00014,5336,14
T00017,4495,17
T00002,3435,2
T00025,5436,25
T00005,6699,5
T00005,1191,5
T00029,2796,29
T00002,4732,2
T00001,7745,1
T00018,5023,18
T00009,3941,9
T00016,1832,16
T00002,462,2
T00028,3784,28
T00003,5247,3
T00008,1479,8
T00005,942,5
T00027,4269,27
T00002,8981,2
T00002,6631,2
T00007,7354,7
T00013,3622,13
T00003,5519,3
T00017,6811,17
T00026,9783,26
T00029,368,29
T00010,5935,10
T00003,3916,3
T00006,3472,6
T00004,1425,4
T00008,7449,8
T00004,9145,4
T00022,3978,22
T00010,9041,10
T00022,3873,22
T00002,8373,2
T00013,3953,13
T00016,996,16
T00029,1740,29
T00005,7049,5
T00016,7975,16
T00001,7219,1
T00020,4390,20
T00003,4532,3
T00025,2105,25
T00029,8546,29
T00006,4242,6
T00018,8764,18
T00008,1434,8
T00010,4493,10
T00022,6999,22
T00018,3010,18
T00022,968,22
T00009,318,9
T00003,8939,3
T00001,8050,1
T00020,4588,20
T00020,8352,20
T00001,234,1
T00021,6770,21
T00012,6134,12
T00008,4143,8
T00025,7685,25
T00019,5720,19
T00023,7917,23
T00013,5355,13
T00003,3521,3
T00020,7165,20
T00002,1569,2
T00007,1545,7
T00008,2104,8
T00003,477,3
T00016,208,16
T00024,3689,24
T00006,4625,6
T00015,2192,15
T00029,7449,29
T00023,1906,23
T00026,2405,26
T00021,2098,21
T00030,4928,30
T00013,3754,13
T00027,9675,27
T00025,5084,25
T00017,4299,17
T00003,9172,3
T00010,9264,10
T00017,7148,17
T00030,3704,30
T00011,83,11
T00005,8741,5
T00028,6014,28
T00001,1675,1
T00009,7141,9
T00017,7480,17
T00015,3555,15
T00012,3332,12
T00022,6822,22
T00028,8445,28
T00014,6229,14
T00014,9850,14
T00014,1043,14
T00015,651,15
T00006,7759,6
T00028,7662,28
T00025,5726,25
T00024,9360,24
T00003,1425,3
T00001,7395,1
T00023,2730,23
T00025,4206,25
T00026,8614,26
T00007,5171,7
T00004,6813,4
T00016,85,16
T00004,429,4
T00008,8085,8
T00015,5446,15
T00030,6861,30
T00012,8699,12
T00025,7060,25
T00022,5244,22
T00019,4489,19
T00013,7859,13
T00023,3428,23
T00030,9105,30
T00027,5587,27
T00006,2843,6
T00004,9493,4
T00015,6946,15
T00013,4512,13
T00025,5902,25
T00027,9135,27
T00028,877,28
T00015,1419,15
T00020,1007,20
T00014,4592,14
T00011,7582,11
T00023,882,23
T00002,2545,2
T00009,6500,9
T00005,9560,5
T00012,6255,12
T00013,8296,13
T00029,408,29
T00012,1185,12
T00003,9483,3
T00010,7472,10
T00005,5203,5
T00022,9719,22
T00024,4737,24
T00017,7267,17
T00026,7913,26
T00024,6313,24
T00004,2737,4
T00014,8409,14
T00011,3680,11
T00003,4635,3
T00023,59,23
T00029,49,29
T00002,2956,2
T00008,7733,8
T00027,7011,27
T00016,3492,16
T00014,472,14
T00012,1393,12
T00015,1116,15
T00008,6368,8
T00010,4534,10
T00011,9978,11
T00030,2915,30
T00008,6960,8
T00009,9274,9
T00020,7995,20
T00024,9650,24
T00018,5902,18
T00003,2056,3
T00010,6598,10
T00003,2699,3
T00024,5615,24
T00012,9869,12
T00011,6808,11
T00020,3044,20
T00030,4037,30
T00003,8536,3
T00026,3715,26
T00027,1847,27
T00029,4400,29
T00026,2865,26
T00028,6128,28
T00013,610,13
T00007,5895,7
T00004,9208,4
T00007,7736,7
T00026,3340,26
T00008,1697,8
T00017,4214,17
T00021,8637,21
T00014,356,14
T00029,7070,29
T00003,5381,3
T00021,285,21
T00009,8583,9
T00012,5038,12
T00017,7854,17
T00010,3415,10
T00019,648,19
T00001,2654,1
T00024,967,24
T00017,9907,17
T00004,4244,4
T00002,9701,2
T00014,4561,14
T00013,6170,13
T00009,2968,9
T00010,9222,10
T00010,1169,10
T00018,2783,18
T00028,7806,28
T00011,4842,11
T00023,3558,23
T00030,693,30
T00015,1821,15
T00010,1351,10
T00015,4994,15
T00016,1737,16
T00025,5989,25
T00015,4503,15
T00019,9715,19
T00025,6544,25
T00024,4340,24
T00015,2699,15
T00030,3561,30
T00028,7113,28
T00030,6422,30
T00003,1238,3
T00015,6583,15
T00003,4449,3
T00016,246,16
T00029,2752,29
T00028,7307,28
T00020,4255,20
T00021,1020,21
T00009,9643,9
T00017,6359,17
T00003,1611,3
T00004,7332,4
T00006,4376,6
T00026,7374,26
T00022,9032,22
T00030,1986,30
T00009,6837,9
T00012,3929,12
T00024,4493,24
T00030,6218,30
T00003,2819,3
T00009,567,9
T00001,1497,1
T00024,2289,24
T00002,2533,2
T00019,8237,19
T00019,5743,19
T00012,5049,12
T00026,8605,26
T00028,1992,28
T00026,7543,26
T00006,6639,6
T00016,3716,16
T00003,2350,3
T00029,9376,29
T00007,4652,7
T00002,4150,2
T00015,2704,15
T00003,1189,3
T00016,4138,16
T00012,6956,12
T00026,986,26
T00005,6786,5
T00026,7738,26
T00028,1094,28
T00010,575,10
T00013,2451,13
T00001,6310,1
T00021,3322,21
T00003,7239,3
T00022,9087,22
T00013,4154,13
T00018,9851,18
T00028,7378,28
T00004,4136,4
T00008,9826,8
T00014,6754,14
T00025,638,25
T00024,40,24
T00019,8421,19
T00013,7389,13
T00018,5,18
T00022,326,22
T00001,1086,1
T00026,3975,26
T00007,644,7
T00007,4753,7
T00025,232,25
T00006,5858,6
T00016,5509,16
T00003,972,3
T00023,9164,23
T00021,1313,21
T00019,3459,19
T00029,9961,29
T00030,844,30
T00004,5660,4
T00010,379,10
T00011,6525,11
T00006,6704,6
T00019,5367,19
T00019,6123,19
T00004,9329,4
T00016,5368,16
T00007,9882,7
T00030,8872,30
T00019,5717,19
T00010,7373,10
T00014,9840,14
T00021,150,21
T00019,4382,19
T00003,5522,3
T00017,6293,17
T00008,1716,8
T00019,6034,19
T00027,9364,27
T00002,4022,2
T00011,8141,11
T00025,9544,25
T00002,6664,2
T00006,2589,6
T00009,8965,9
T00025,1277,25
T00008,9432,8
T00029,2183,29
T00019,4258,19
T00029,3047,29
T00025,8499,25
T00016,2092,16
T00029,8053,29
T00014,5268,14
T00003,1943,3
T00024,4922,24
T00002,2634,2
T00027,690,27
T00026,296,26
T00024,8163,24
T00021,3083,21
T00004,392,4
T00013,5973,13
T00006,6189,6
T00016,8011,16
T00013,7519,13
T00014,3927,14
T00019,1893,19
T00015,1186,15
T00001,4740,1
T00022,4040,22
T00009,1068,9
T00002,6526,2
T00005,8275,5
T00013,4120,13
T00016,9901,16
T00006,3285,6
T00003,7841,3
T00023,6303,23
T00003,1614,3
T00009,7218,9
T00024,8493,24
T00017,2113,17
T00010,4216,10
T00018,1652,18
T00027,5356,27
T00026,7107,26
T00009,2168,9
T00013,4841,13
T00027,3248,27
T00020,6990,20
T00020,4446,20
T00030,5799,30
T00020,1780,20
T00012,1859,12
T00022,1207,22
T00013,1412,13
T00008,1667,8
T00027,4768,27
T00023,8432,23
T00025,7207,25
T00023,1204,23
T00030,9367,30
T00011,5467,11
T00030,1831,30
T00009,6250,9
T00006,4045,6
T00030,303,30
T00024,1892,24
T00025,3568,25
T00016,1859,16
T00027,9085,27
T00028,9748,28
T00026,3141,26
T00005,7655,5
T00013,6970,13
T00012,2183,12
T00024,6744,24
T00017,5889,17
T00008,225,8
T00015,4844,15
T00024,5050,24
T00002,1563,2
T00023,4483,23
T00023,3116,23
T00013,6930,13
T00022,4159,22
T00026,4183,26
T00024,7036,24
T00019,199,19
T00006,4491,6
T00021,7024,21
T00013,6870,13
T00025,4573,25
T00021,5820,21
T00002,2064,2
T00019,9226,19
T00015,1239,15
T00024,8296,24
T00019,3722,19
T00008,2046,8
T00020,4265,20
T00015,2060,15
T00008,5448,8
T00006,4209,6
T00017,8661,17
T00023,764,23
T00016,1567,16
T00020,6593,20
T00008,1521,8
T00010,2348,10
T00019,1035,19
T00017,5473,17
T00003,6382,3
T00017,6309,17
T00005,1830,5
T00030,2449,30
T00010,3747,10
T00019,866,19
T00021,8553,21
T00004,5793,4
T00020,7661,20
T00021,3073,21
T00005,4395,5
T00030,9158,30
T00022,3078,22
T00022,1835,22
T00020,1374,20
T00011,9695,11
T00028,4242,28
T00030,3050,30
T00019,6430,19
T00018,9753,18
T00010,5854,10
T00016,2089,16
T00019,8395,19
T00025,7249,25
T00006,6636,6
T00001,8010,1
T00004,8485,4
T00016,344,16
T00026,9768,26
T00026,7252,26
T00028,5631,28
T00005,9044,5
T00030,5316,30
T00003,3223,3
T00005,287,5
T00019,7605,19
T00004,3908,4
T00015,3471,15
T00018,8920,18
T00009,9896,9
T00011,8460,11
T00007,4216,7
T00008,5263,8
T00030,9155,30
T00010,9924,10
T00016,2875,16
T00024,7935,24
T00015,9463,15
T00003,3475,3
T00010,5839,10
T00028,820,28
T00019,4627,19
T00027,9165,27
T00008,2357,8
T00013,1251,13
T00013,7831,13
T00013,4343,13
T00011,6699,11
T00018,7850,18
T00025,5008,25
T00013,9006,13
T00012,7237,12
T00013,7617,13
T00027,8367,27
T00023,6480,23
T00024,4018,24
T00009,572,9
T00012,8709,12
T00005,578,5
T00020,7670,20
T00002,4943,2
T00021,6925,21
T00026,8525,26
T00007,2963,7
T00005,7583,5
T00007,5894,7
T00019,4665,19
T00016,1388,16
T00010,5870,10
T00024,5525,24
T00029,3921,29
T00021,5017,21
T00022,517,22
T00004,777,4
T00019,9433,19
T00018,6458,18
T00023,6810,23
T00021,4245,21
T00015,9362,15
T00020,205,20
T00027,7444,27
T00023,3140,23
T00016,308,16
T00023,7268,23
T00024,4452,24
T00027,3276,27
T00009,8223,9
T00015,5675,15
T00022,647,22
T00001,2931,1
T00029,9254,29
T00029,8385,29
T00002,9843,2
T00014,5375,14
T00029,5544,29
T00019,548,19
T00010,2895,10
T00024,1062,24
T00022,6283,22
T00027,8401,27
T00011,1362,11
T00029,7104,29
T00007,5719,7
T00016,8144,16
T00005,112,5
T00017,9505,17
T00015,1718,15
T00021,8307,21
T00018,3978,18
T00014,1311,14
T00014,4966,14
T00012,6427,12
T00020,3680,20
T00029,9920,29
T00018,2165,18
T00003,6471,3
T00003,2002,3
T00030,9805,30
T00019,5562,19
T00017,8477,17
T00025,2647,25
T00009,2213,9
T00023,7221,23
T00021,8724,21
T00024,1098,24
T00028,560,28
T00018,4036,18
T00002,903,2
T00025,490,25
T00016,5889,16
T00008,7920,8
T00028,1435,28
T00030,4650,30
T00006,2670,6
T00016,6567,16
T00020,753,20
T00024,3969,24
T00014,2741,14
T00013,4493,13
T00009,3634,9
T00008,2120,8
T00027,7467,27
T00018,8551,18
T00011,5851,11
T00016,4182,16
T00022,9616,22
T00005,6251,5
T00025,2366,25
T00016,7505,16
T00024,7340,24
T00007,294,7
T00022,2197,22
T00007,7016,7
T00002,3934,2
T00004,6936,4
T00012,611,12
T00017,7374,17
T00029,6090,29
T00012,1261,12
T00016,3600,16
T00027,9455,27
T00020,2177,20
T00021,591,21
T00025,5141,25
T00027,1175,27
T00022,7947,22
T00021,7654,21
T00003,8354,3
T00018,9018,18
T00030,7482,30
T00009,9741,9
T00009,4253,9
T00029,2900,29
T00007,1976,7
T00030,8454,30
T00004,1094,4
T00009,924,9
T00021,7935,21
T00008,1590,8
T00027,1638,27
T00023,9664,23
T00024,7243,24
T00012,6804,12
T00024,8620,24
T00008,2876,8
T00013,7871,13
T00001,4386,1
T00012,7124,12
T00019,9183,19
T00015,6884,15
T00007,4845,7
T00017,6474,17
T00011,4114,11
T00015,2160,15
T00005,3409,5
T00029,879,29
T00007,468,7
T00025,8539,25
T00011,3665,11
T00018,9077,18
T00016,597,16
T00012,6983,12
T00016,7058,16
T00017,945,17
T00006,310,6
T00007,4222,7
T00015,2866,15
T00026,3990,26
T00008,1451,8
T00005,2671,5
T00015,8991,15
T00002,8395,2
T00029,1340,29
T00001,9179,1
T00018,8278,18
T00026,7554,26
T00030,1005,30
T00007,5036,7
T00009,5096,9
T00017,647,17
T00029,7606,29
T00029,7762,29
T00007,8209,7
T00023,3707,23
T00027,4753,27
T00012,3096,12
T00013,5318,13
T00008,5170,8
T00019,6634,19
T00018,5198,18
T00023,6525,23
T00022,8218,22
T00022,3160,22
T00018,9413,18
T00001,5703,1
T00002,5235,2
T00006,6529,6
T00025,8335,25
T00014,6721,14
T00026,7976,26
T00013,6022,13
T00014,4414,14
T00001,6542,1
T00001,184,1
T00029,9289,29
T00007,456,7
T00008,7666,8
T00010,719,10
T00024,484,24
T00021,7112,21
T00021,3664,21
T00020,2268,20
T00009,9826,9
T00009,9017,9
T00023,4376,23
T00002,3830,2
T00004,3759,4
T00021,4036,21
T00017,3096,17
T00016,7661,16
T00009,2734,9
T00018,4387,18
T00006,8655,6
T00027,5313,27
T00003,7193,3
T00021,8105,21
T00029,5949,29
T00014,5385,14
T00013,5432,13
T00018,8473,18
T00023,4138,23
T00014,9629,14
T00023,2048,23
T00018,1356,18
T00013,5394,13
T00030,4257,30
T00027,7112,27
T00008,6179,8
T00017,989,17
T00012,2691,12
T00009,5362,9
T00015,9971,15
T00029,5550,29
T00003,7187,3
T00002,6156,2
T00021,4716,21
T00019,5938,19
T00005,8131,5
T00013,1395,13
T00013,5730,13
T00012,4032,12
T00005,2972,5
T00021,6620,21
T00014,4158,14
T00006,6975,6
T00023,5430,23
T00003,9508,3
T00022,7678,22
T00014,2273,14
T00004,2138,4
T00013,6802,13
T00029,3921,29
T00030,5139,30
T00001,5234,1
T00026,7840,26
T00001,5426,1
T00019,1716,19
T00024,7788,24
T00017,7993,17
T00014,6676,14
T00021,3496,21
T00010,2961,10
T00018,3684,18
T00007,2289,7
T00007,8365,7
T00008,5846,8
T00014,2653,14
T00016,3461,16
T00016,1537,16
T00003,9321,3
T00003,8330,3
T00022,2513,22
T00028,85,28
T00024,6576,24
T00001,4862,1
T00012,4896,12
T00027,487,27
T00020,7102,20
T00025,8335,25
T00006,3354,6
T00021,1012,21
T00003,1294,3
T00007,4648,7
T00018,2807,18
T00014,6036,14
T00024,5442,24
T00003,2228,3
T00018,7217,18
T00018,3157,18
T00028,4548,28
T00017,1157,17
T00021,9419,21
T00030,5544,30
T00016,1641,16
T00010,6545,10
T00008,9967,8
T00016,456,16
T00020,215,20
T00007,5427,7
T00027,5709,27
T00026,2737,26
T00021,9317,21
T00015,874,15
T00020,6600,20
T00011,475,11
T00003,7602,3
T00016,2466,16
T00016,3917,16
T00007,8643,7
T00023,3350,23
T00006,9540,6
T00023,7791,23
T00021,6850,21
T00028,1546,28
T00004,3986,4
T00004,8592,4
T00025,8830,25
T00008,3729,8
T00013,5753,13
T00023,9075,23
T00020,4539,20
T00030,2522,30
T00028,7370,28
T00017,3855,17
T00018,1284,18
T00014,4958,14
T00012,3719,12
T00016,6541,16
T00014,1794,14
T00009,1779,9
T00018,898,18
T00003,3911,3
T00016,4958,16
T00006,5916,6
T00030,8772,30
T00016,1303,16
T00004,6758,4
T00029,8137,29
T00004,5002,4
T00023,2131,23
T00006,7340,6
T00012,4906,12
T00004,820,4
T00019,5204,19
T00027,7400,27
T00011,6711,11
T00017,5482,17
T00023,4872,23
T00005,401,5
T00014,6161,14
T00015,1776,15
T00006,4396,6
T00020,4436,20
T00009,3840,9
T00010,8336,10
T00026,5286,26
T00028,4331,28
T00005,449,5
T00023,9262,23
T00018,6975,18
T00029,277,29
T00026,9366,26
T00016,8266,16
T00009,8328,9
T00007,8598,7
T00019,3201,19
T00019,3030,19
T00023,4977,23
T00006,8444,6
T00003,1427,3
T00005,3073,5
T00021,6825,21
T00006,9555,6
T00029,3552,29
T00018,2489,18
T00017,8696,17
T00015,7324,15
T00016,8852,16
T00024,8130,24
T00007,2032,7
T00008,5166,8
T00029,220,29
T00008,5697,8
T00016,4227,16
T00008,3997,8
T00030,9474,30
T00023,5611,23
T00029,440,29
T00027,3114,27
T00028,9601,28
T00015,8670,15
T00027,8368,27
T00013,3711,13
T00001,4290,1
T00029,448,29
T00015,4757,15
T00004,9738,4
T00017,8203,17
T00017,8590,17
T00029,6496,29
T00013,3912,13
T00004,8656,4
T00007,6415,7
T00016,4788,16
T00014,3304,14
T00008,849,8
T00008,4800,8
T00028,9727,28
T00009,6347,9
T00015,678,15
T00005,8001,5
T00013,9112,13
T00001,6806,1
T00016,563,16
T00009,9164,9
T00002,3213,2
T00018,3401,18
T00010,3099,10
T00025,223,25
T00014,497,14
T00026,4058,26
T00011,5815,11
T00013,4376,13
T00024,1261,24
T00013,7376,13
T00030,3036,30
T00002,129,2
T00014,9230,14
T00004,2422,4
T00006,1687,6
T00018,8600,18
T00001,3490,1
T00022,2361,22
T00014,3565,14
T00003,239,3
T00003,4082,3
T00026,8342,26
T00018,806,18
T00018,6689,18
T00006,9871,6
T00021,6179,21
T00021,6704,21
T00006,9937,6
T00005,3186,5
T00004,9360,4
T00004,2690,4
T00006,6580,6
T00014,7241,14
T00012,6125,12
T00012,3634,12
T00030,8869,30
T00007,7738,7
T00021,3403,21
T00024,5266,24
T00016,9777,16
T00025,8319,25
T00016,3881,16
T00010,6528,10
T00018,3915,18
T00020,1601,20
T00018,5597,18
T00029,2259,29
T00004,4182,4
T00028,7454,28
T00019,5146,19
T00020,9469,20
T00007,8964,7
T00014,9644,14
T00007,9083,7
T00007,587,7
T00025,4009,25
T00029,9110,29
T00012,4278,12
T00015,2533,15
T00017,9414,17
T00027,6135,27
T00020,4127,20
T00026,2266,26
T00004,2036,4
T00026,4431,26
T00024,5631,24
T00025,8423,25
T00012,6185,12
T00004,9239,4
T00016,8366,16
T00001,4813,1
T00029,9155,29
T00024,1617,24
T00026,8234,26
T00019,169,19
T00005,9667,5
T00002,1585,2
T00017,1317,17
T00018,1377,18
T00028,4168,28
T00002,7515,2
T00021,2233,21
T00019,4400,19
T00018,8749,18
T00029,3360,29
T00003,8590,3
T00003,70,3
T00002,8011,2
T00022,413,22
T00029,5902,29
T00022,8018,22
T00008,8118,8
T00016,4088,16
T00027,3299,27
T00019,8232,19
T00027,7301,27
T00004,4585,4
T00028,659,28
T00019,6466,19
T00003,9664,3
T00017,4706,17
T00008,2947,8
T00006,472,6
T00007,2630,7
T00030,5975,30
T00010,4636,10
T00002,8890,2
T00027,1983,27
T00008,8079,8
T00026,2716,26
T00023,7949,23
T00023,7736,23
T00014,4037,14
T00004,1573,4
T00022,5190,22
T00003,4075,3
T00014,6451,14
T00012,1708,12
T00026,3875,26
T00001,7094,1
T00016,9812,16
T00025,1326,25
T00026,3420,26
T00008,9136,8
T00009,3729,9
T00023,4652,23
T00024,6478,24
T00008,1161,8
T00017,4683,17
T00015,6374,15
T00004,2710,4
T00010,541,10
T00013,2405,13
T00020,3335,20
T00015,8284,15
T00019,5395,19
T00022,4828,22
T00002,4426,2
T00016,8050,16
T00030,7885,30
T00019,4064,19
T00029,2792,29
T00029,920,29
T00017,2161,17
T00018,4991,18
T00004,8519,4
T00021,9146,21
T00030,9367,30
T00009,6773,9
T00019,5306,19
T00018,4392,18
T00016,2012,16
T00007,6614,7
T00021,8474,21
T00014,4218,14
T00027,3121,27
T00014,9181,14
T00004,2413,4
T00017,1102,17
T00024,1333,24
T00016,3557,16
T00022,1247,22
T00029,44,29
T00011,2688,11
T00022,1312,22
T00011,6776,11
T00006,8163,6
T00030,9138,30
T00024,3403,24
T00003,2058,3
T00008,4517,8
T00005,9971,5
T00006,6291,6
T00009,7845,9
T00013,9946,13
T00014,5251,14
T00027,838,27
T00008,207,8
T00003,8619,3
T00011,300,11
T00015,7959,15
T00007,499,7
T00020,6116,20
T00011,9997,11
T00024,8070,24
T00015,1878,15
T00009,3492,9
T00021,7095,21
T00019,1570,19
T00030,7286,30
T00003,5262,3
T00020,1403,20
T00026,2133,26
T00002,4623,2
T00013,5023,13
T00010,4823,10
T00013,2112,13
T00016,4315,16
T00003,3478,3
T00030,9936,30
T00016,4987,16
T00014,6649,14
T00020,9297,20
T00026,3780,26
T00010,7103,10
T00025,4921,25
T00020,964,20
T00026,5831,26
T00023,7566,23
T00011,2669,11
T00001,7434,1
T00029,2824,29
T00025,5077,25
T00018,6808,18
T00007,1751,7
T00022,1113,22
T00008,4480,8
T00007,3632,7
T00027,9192,27
T00003,3091,3
T00005,183,5
T00021,1745,21
T00014,373,14
T00016,6267,16
T00005,6305,5
T00011,492,11
T00014,5119,14
T00028,463,28
T00007,6668,7
T00018,4880,18
T00001,6632,1
T00026,9664,26
T00015,2633,15
T00006,5836,6
T00022,7578,22
T00006,4022,6
T00021,1110,21
T00005,1775,5
T00002,7382,2
T00006,6193,6
T00025,5015,25
T00005,8025,5
T00006,5291,6
T00003,6537,3
T00002,9748,2
T00027,6891,27
T00009,7553,9
T00016,1380,16
